time,speed,stNOF,gas1,gas2,gas3,gas4,gas5,gas6,gas7,setgas1,setgas2,setgas3,setgas4,setgas5,setgas6,setgas7,ft1,ft2,ft3,ft4,ft5,ft6,ft7,stRTF,setgasAll,gasAll,ftAll,Id
0,145,701.39,596.28,484.73,468.19,364.09,352.89,358.99,320.19,610,550,500,360,350,350,320,888.1,887.5,902.1,958.7,956.4,915.5,840.1,852.08,3040,2945.36,6348.4,231
0.05,145,709.49,590.94,483.11,467.17,362.98,359.98,358.16,319.61,610,550,500,360,350,350,320,888.1,887.5,902.1,958.7,956.4,915.5,840.1,852.31,3040,2941.95,6348.4,231
0.1,145,704.17,593.04,485.43,469.21,337.54,361.17,358.9,320.59,610,550,500,360,350,350,320,888.1,887.5,902.1,958.7,956.4,915.5,840.1,850,3040,2925.88,6348.4,231
0.15,145,705.09,594.45,485.92,470.05,335.14,358.33,341.25,320.5,610,550,500,360,350,350,320,888.1,888.1,902.1,958.7,956.4,915.5,840.1,850.93,3040,2905.64,6349,231
0.2,145,718.29,595.94,486.38,470.86,357.57,323.94,336.11,322,610,550,500,360,350,350,320,888.1,888.1,902.1,958.7,956.4,915.5,840.1,850.93,3040,2892.8,6349,231
0.25,145,707.41,591.04,482.74,467.08,358.76,350.35,338.54,320.33,610,550,500,360,350,350,320,888.1,888.1,902.7,958.7,956.4,915.5,840.1,854.63,3040,2908.84,6349.6,231
0.3,145,701.85,591.17,480.7,465.37,358.3,357.09,353.13,319.21,610,550,500,360,350,350,320,888.1,888.1,902.7,958.7,956.4,915.5,840.7,848.61,3040,2924.97,6350.2,231
0.35,145,707.87,589.4,479.91,465,357.69,357.84,354.64,318.04,610,550,500,360,350,350,320,888.1,888.1,902.7,958.7,956.4,916.1,840.7,850.69,3040,2922.52,6350.8,231
0.4,145,696.76,593.79,481.21,466.15,359.21,350.96,356.03,319.35,610,550,500,360,350,350,320,888.1,888.1,902.7,958.7,956.4,916.1,840.7,853.01,3040,2926.7,6350.8,231
0.45,145,695.6,597.2,483.3,468.72,361.06,326.48,357.28,320.15,610,550,500,360,350,350,320,888.1,888.1,902.7,959.3,956.4,916.1,840.7,856.94,3040,2914.19,6351.4,231
0.5,145,697.45,590.67,481.21,465.57,359.21,354.04,355.42,318.07,610,550,500,360,350,350,320,888.1,888.1,902.7,959.3,956.4,916.1,840.7,853.47,3040,2924.19,6351.4,231
0.55,145,697.92,585.7,478.78,464.14,357.49,357.64,337.07,316.55,610,550,500,360,350,350,320,888.1,888.1,902.7,959.3,957,916.1,840.7,852.31,3040,2897.37,6352,231
0.6,145,693.98,582.84,473.88,458.41,353.87,353.56,330.99,312.54,610,550,450,310,300,300,320,888.1,888.1,902.7,959.3,957,916.1,841.2,850,2840,2866.09,6352.5,231
0.65,145,694.91,584.62,472.85,459.03,352.58,318.12,330.44,314.13,610,515,450,310,300,300,320,888.1,888.1,902.7,959.3,957,916.7,841.2,847.22,2805,2831.77,6353.1,231
